Indicator ID,Dimension List,Timeframe,Numeric Value,Locale,Locale Level,Locale State FIPS Code,Locale County FIPS Code,Locale County SSA Code,Locale HRR Code,Total,Age,Sex,Race Ethnicity,Income And Poverty Status,Educational Attainment,Health Insurance Status,Sexual Orientation,Marital Status,Family Type,Veteran Status,Country Of Birth,Disability Status,Obesity Status,Characteristic Of School Or Student,Other,Geography,Modifier1,Modifier2,Modifier3,Modifier4,Modifier5,Numerator,Denominator
416390635,Total,2013,"3,693",Louisiana - Acadia,County,22,22001,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862971,Total,2012,"22,833",Louisiana - Acadia,County,22,22001,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549700,Total,2011,"19,157",Louisiana - Acadia,County,22,22001,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546423,Total,2010,"7,227",Louisiana - Acadia,County,22,22001,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784839,Total,2008,"26,097",Louisiana - Acadia,County,22,22001,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"13,228",Louisiana - Acadia Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390636,Total,2013,"44,862",Louisiana - Allen,County,22,22003,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862972,Total,2012,"41,411",Louisiana - Allen,County,22,22003,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549701,Total,2011,"25,260",Louisiana - Allen,County,22,22003,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546424,Total,2010,"1,811",Louisiana - Allen,County,22,22003,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784840,Total,2008,"20,934",Louisiana - Allen,County,22,22003,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"28,336",Louisiana - Allen Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390637,Total,2013,"20,461,889",Louisiana - Ascension,County,22,22005,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862973,Total,2012,"19,926,510",Louisiana - Ascension,County,22,22005,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549702,Total,2011,"18,035,670",Louisiana - Ascension,County,22,22005,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546425,Total,2010,"17,898,565",Louisiana - Ascension,County,22,22005,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784841,Total,2008,"18,284,800",Louisiana - Ascension,County,22,22005,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"19,080,659",Louisiana - Ascension Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390638,Total,2013,"57,348",Louisiana - Assumption,County,22,22007,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862974,Total,2012,"69,858",Louisiana - Assumption,County,22,22007,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549703,Total,2011,"34,843",Louisiana - Assumption,County,22,22007,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546426,Total,2010,"21,356",Louisiana - Assumption,County,22,22007,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784842,Total,2008,"29,798",Louisiana - Assumption,County,22,22007,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"45,851",Louisiana - Assumption Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390639,Total,2013,0,Louisiana - Avoyelles,County,22,22009,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862975,Total,2012,,Louisiana - Avoyelles,County,22,22009,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549704,Total,2011,DSU,Louisiana - Avoyelles,County,22,22009,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546427,Total,2010,250,Louisiana - Avoyelles,County,22,22009,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784843,Total,2008,"8,363",Louisiana - Avoyelles,County,22,22009,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,125,Louisiana - Avoyelles Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390640,Total,2013,"2,076,311",Louisiana - Beauregard,County,22,22011,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862976,Total,2012,"2,109,534",Louisiana - Beauregard,County,22,22011,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549705,Total,2011,"2,038,686",Louisiana - Beauregard,County,22,22011,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546428,Total,2010,"2,104,870",Louisiana - Beauregard,County,22,22011,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784844,Total,2008,"2,067,280",Louisiana - Beauregard,County,22,22011,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"2,082,350",Louisiana - Beauregard Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390641,Total,2013,"1,794",Louisiana - Bienville,County,22,22013,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862977,Total,2012,"2,053",Louisiana - Bienville,County,22,22013,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549706,Total,2011,592,Louisiana - Bienville,County,22,22013,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546429,Total,2010,822,Louisiana - Bienville,County,22,22013,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784845,Total,2008,"1,062",Louisiana - Bienville,County,22,22013,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"1,315",Louisiana - Bienville Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390642,Total,2013,"3,723",Louisiana - Bossier,County,22,22015,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862978,Total,2012,"1,123",Louisiana - Bossier,County,22,22015,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549707,Total,2011,168,Louisiana - Bossier,County,22,22015,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546430,Total,2010,133,Louisiana - Bossier,County,22,22015,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784846,Total,2008,193,Louisiana - Bossier,County,22,22015,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"1,287",Louisiana - Bossier Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390643,Total,2013,"896,034",Louisiana - Caddo,County,22,22017,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862979,Total,2012,"922,996",Louisiana - Caddo,County,22,22017,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549708,Total,2011,"1,182,072",Louisiana - Caddo,County,22,22017,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546431,Total,2010,"1,042,975",Louisiana - Caddo,County,22,22017,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784847,Total,2008,"753,893",Louisiana - Caddo,County,22,22017,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"1,011,019",Louisiana - Caddo Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390644,Total,2013,"13,243,631",Louisiana - Calcasieu,County,22,22019,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862980,Total,2012,"14,759,634",Louisiana - Calcasieu,County,22,22019,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549709,Total,2011,"14,557,234",Louisiana - Calcasieu,County,22,22019,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546432,Total,2010,"14,815,280",Louisiana - Calcasieu,County,22,22019,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784848,Total,2008,"14,194,100",Louisiana - Calcasieu,County,22,22019,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"14,343,945",Louisiana - Calcasieu Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390645,Total,2013,---,Louisiana - Caldwell,County,22,22021,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862981,Total,2012,,Louisiana - Caldwell,County,22,22021,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549710,Total,2011,---,Louisiana - Caldwell,County,22,22021,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546433,Total,2010,---,Louisiana - Caldwell,County,22,22021,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784849,Total,2008,DSU,Louisiana - Caldwell,County,22,22021,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,NA,Louisiana - Caldwell Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390646,Total,2013,120,Louisiana - Cameron,County,22,22023,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862982,Total,2012,5,Louisiana - Cameron,County,22,22023,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91549711,Total,2011,"3,114",Louisiana - Cameron,County,22,22023,,,Total,,,,,,,,,,,,,,,,,,,,,,,
91546434,Total,2010,"1,351",Louisiana - Cameron,County,22,22023,,,Total,,,,,,,,,,,,,,,,,,,,,,,
24784850,Total,2008,"19,069",Louisiana - Cameron,County,22,22023,,,Total,,,,,,,,,,,,,,,,,,,,,,,
,,,"1,148",Louisiana - Cameron Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
416390647,Total,2013,---,Louisiana - Catahoula,County,22,22025,,,Total,,,,,,,,,,,,,,,,,,,,,,,
303862983,Total,2012,,Louisiana - Catahoula,County,22,22025,,,Total,,,,,,,,,,,,,,,,,,,,,,,
